year,age,location,lat,lon,livingWith
1758,0,"West Hartford, CT",41.7620,-72.7420,"Parents"
1772,14,"West Hartford, CT",41.7620,-72.7420,"Parents"
1774,16,"New Haven, CT (Yale)",41.3083,-72.9279,"Student"
1778,20,"Glastonbury, CT",41.7123,-72.6081,"Schoolmaster"
1779,21,"Hartford, CT",41.7658,-72.6734,"Teacher"
1780,22,"Litchfield, CT",41.7473,-73.1887,"Law Student"
1783,25,"Hartford, CT",41.7658,-72.6734,"Lawyer"
1785,27,"Philadelphia, PA",39.9526,-75.1652,"Self"
1787,29,"New York City, NY",40.7128,-74.0060,"Editor"
1789,31,"Hartford, CT",41.7658,-72.6734,"Rebecca"
1790,32,"Hartford, CT",41.7658,-72.6734,"Rebecca-Emily"
1793,35,"New York City, NY",40.7128,-74.0060,"Rebecca-Emily-Julia"
1797,39,"New York City, NY",40.7128,-74.0060,"Rebecca-Family"
1798,40,"New Haven, CT",41.3083,-72.9279,"Rebecca-Family"
1799,41,"New Haven, CT",41.3083,-72.9279,"Rebecca-Family"
1801,43,"New Haven, CT",41.3083,-72.9279,"Rebecca-Family"
1806,48,"New Haven, CT",41.3083,-72.9279,"Rebecca-Family"
1812,54,"Amherst, MA",42.3732,-72.5199,"Rebecca-Family"
1822,64,"New Haven, CT",41.3083,-72.9279,"Rebecca"
1828,70,"New Haven, CT",41.3083,-72.9279,"Rebecca"
1843,84,"New Haven, CT",41.3083,-72.9279,"Rebecca"
